Abkhazian,abk
Timne,tem
Tiv,tiv
tlhIngan-Hol,tlh
Tlingit,tli
Tok Pisin,tpi
Tokelau,tkl
Tonga (Nyasa),tog
Tonga (Tonga Islands),ton
Tsimshian,tsi
Tsonga,tso
Tswana,tsn
Tumbuka,tum
Tupi languages,tup
Turkish,tur
"Turkish, Ottoman (1500-1928)",ota
Turkmen,tuk
Tuvalu,tvl
Tuvinian,tyv
Twi,twi
Udmurt,udm
Ugaritic,uga
Uighur,uig
Ukrainian,ukr
Umbundu,umb
Uncoded languages,mis
Undetermined,und
Upper Sorbian,hsb
Urdu,urd
Uyghur,uig
Uzbek,uzb
Vai,vai
Valencian,cat
Venda,ven
Vietnamese,vie
Volapük,vol
Votic,vot
Wakashan languages,wak
Walloon,wln
Waray,war
Washo,was
Welsh,wel/cym
Western Frisian,fry
Western Pahari languages,him
Wolaitta,wal
Wolaytta,wal
Wolof,wol
Xhosa,xho
Yakut,sah
Yao,yao
Yapese,yap
Yiddish,yid
Yoruba,yor
Yupik languages,ypk
Zande languages,znd
Zapotec,zap
Zaza,zza
Zazaki,zza
Zenaga,zen
Zhuang,zha
Zulu,zul
Zuni,zun
